Continent,Country_ISO,Country_code,Country_name
Asia,AFG,0,World
Europe,ALB,4,Afghanistan
Antarctica,ATA,8,Albania
Africa,DZA,10,Antarctica
Oceania,ASM,12,Algeria
Europe,AND,16,American Samoa
Africa,AGO,20,Andorra
North America,ATG,24,Angola
Europe,AZE,28,Antigua and Barbuda
Asia,AZE,31,Azerbaijan
South America,ARG,32,Argentina
Oceania,AUS,36,Australia
Europe,AUT,40,Austria
North America,BHS,44,Bahamas
Asia,BHR,48,Bahrain
Asia,BGD,50,Bangladesh
Asia,ARM,51,Armenia
Europe,ARM,52,Barbados
North America,BRB,56,Belgium
Europe,BEL,58,Belgium-Luxembourg
North America,BMU,60,Bermuda
Asia,BTN,64,Bhutan
South America,BOL,68,Bolivia (Plurinational State of)
Europe,BIH,70,Bosnia Herzegovina
Africa,BWA,72,Botswana
Antarctica,BVT,74,Bouvet Island
South America,BRA,76,Brazil
North America,BLZ,80,Br. Antarctic Terr.
Asia,IOT,84,Belize
Oceania,SLB,86,Br. Indian Ocean Terr.
North America,VGB,90,Solomon Isds
Asia,BRN,92,Br. Virgin Isds
Europe,BGR,96,Brunei Darussalam
Asia,MMR,97,EU-27
Africa,BDI,100,Bulgaria
Europe,BLR,104,Myanmar
Asia,KHM,108,Burundi
Africa,CMR,112,Belarus
North America,CAN,116,Cambodia
Africa,CPV,120,Cameroon
North America,CYM,124,Canada
Africa,CAF,129,"Caribbean, nes"
Asia,LKA,132,Cabo Verde
Africa,TCD,136,Cayman Isds
South America,CHL,140,Central African Rep.
Asia,CHN,144,Sri Lanka
Asia,TWN,148,Chad
Asia,CXR,152,Chile
Asia,CCK,156,China
South America,COL,162,Christmas Isds
Africa,COM,166,Cocos Isds
Africa,MYT,170,Colombia
Africa,COG,174,Comoros
Africa,COD,175,Mayotte
Oceania,COK,178,Congo
North America,CRI,180,Dem. Rep. of the Congo
Europe,HRV,184,Cook Isds
North America,CUB,188,Costa Rica
Europe,CYP,191,Croatia
